NucleotideID,AssemblyID,Biosample,SRRID,Sequencer,Type
CP062004,GCF_014840915.2,SAMN15944976,SRR12549528,ILLUMINA,chromosome
DABQMS000000000,GCF_014840915.2,SAMN15944976,SRR12549528,ILLUMINA,""
NZ_CP062004,GCF_014840915.2,SAMN15944976,SRR12549528,ILLUMINA,chromosome
CP061929,GCF_014805785.2,SAMN15944967,SRR12549527,ILLUMINA,chromosome
DABQMW000000000,GCF_014805785.2,SAMN15944967,SRR12549527,ILLUMINA,""
NZ_CP061929,GCF_014805785.2,SAMN15944967,SRR12549527,ILLUMINA,chromosome
CP060730,GCF_014394985.2,SAMN15903639,SRR12560291,ILLUMINA,chromosome
NZ_CP060730,GCF_014394985.2,SAMN15903639,SRR12560291,ILLUMINA,chromosome
CP053055,GCF_016454785.1,SAMN14504662,SRR11457682,ILLUMINA,chromosome
CP053055,GCF_016454785.1,SAMN14504662,SRR11513905,PACBIO_SMRT,chromosome
CP053056,GCF_016454785.1,SAMN14504662,SRR11457682,ILLUMINA,plasmid
CP053056,GCF_016454785.1,SAMN14504662,SRR11513905,PACBIO_SMRT,plasmid
NZ_CP053055,GCF_016454785.1,SAMN14504662,SRR11457682,ILLUMINA,chromosome
NZ_CP053055,GCF_016454785.1,SAMN14504662,SRR11513905,PACBIO_SMRT,chromosome
NZ_CP053056,GCF_016454785.1,SAMN14504662,SRR11457682,ILLUMINA,plasmid
NZ_CP053056,GCF_016454785.1,SAMN14504662,SRR11513905,PACBIO_SMRT,plasmid
CP053048,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,chromosome
CP053048,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,chromosome
CP053049,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,plasmid
CP053049,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,plasmid
CP053050,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,plasmid
CP053050,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,plasmid
NZ_CP053048,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,chromosome
NZ_CP053048,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,chromosome
NZ_CP053049,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,plasmid
NZ_CP053049,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,plasmid
NZ_CP053050,GCF_016454765.1,SAMN14504803,SRR11457626,ILLUMINA,plasmid
NZ_CP053050,GCF_016454765.1,SAMN14504803,SRR11513888,PACBIO_SMRT,plasmid
CP051419,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051419,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051420,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051420,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051421,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051421,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051422,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051422,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051423,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051423,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051424,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051424,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051425,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,chromosome
CP051425,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,chromosome
CP051426,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
CP051426,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051419,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051419,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051420,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051420,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051421,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051421,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051422,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051422,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051423,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051423,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051424,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051424,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
NZ_CP051425,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,chromosome
NZ_CP051425,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,chromosome
NZ_CP051426,GCF_016454725.1,SAMN14504525,SRR11457821,ILLUMINA,plasmid
NZ_CP051426,GCF_016454725.1,SAMN14504525,SRR11513912,PACBIO_SMRT,plasmid
CP051416,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,chromosome
CP051416,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,chromosome
CP051417,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,plasmid
CP051417,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,plasmid
CP051418,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,plasmid
CP051418,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,plasmid
NZ_CP051416,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,chromosome
NZ_CP051416,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,chromosome
NZ_CP051417,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,plasmid
NZ_CP051417,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,plasmid
NZ_CP051418,GCF_016454705.1,SAMN14504546,SRR11457468,ILLUMINA,plasmid
NZ_CP051418,GCF_016454705.1,SAMN14504546,SRR11513900,PACBIO_SMRT,plasmid
CP051413,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,chromosome
CP051413,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,chromosome
CP051414,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,plasmid
CP051414,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,plasmid
CP051415,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,plasmid
CP051415,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,plasmid
NZ_CP051413,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,chromosome
NZ_CP051413,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,chromosome
NZ_CP051414,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,plasmid
NZ_CP051414,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,plasmid
NZ_CP051415,GCF_016454665.1,SAMN14504550,SRR11457803,ILLUMINA,plasmid
NZ_CP051415,GCF_016454665.1,SAMN14504550,SRR11513878,PACBIO_SMRT,plasmid
CP051410,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,chromosome
CP051410,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,chromosome
CP051411,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,plasmid
CP051411,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,plasmid
CP051412,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,plasmid
CP051412,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,plasmid
NZ_CP051410,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,chromosome
NZ_CP051410,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,chromosome
NZ_CP051411,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,plasmid
NZ_CP051411,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,plasmid
NZ_CP051412,GCF_016454645.1,SAMN14504560,SRR11457568,ILLUMINA,plasmid
NZ_CP051412,GCF_016454645.1,SAMN14504560,SRR11513874,PACBIO_SMRT,plasmid
CP051407,GCA_016454625.1,SAMN14504561,SRR11457430,ILLUMINA,chromosome
CP051407,GCA_016454625.1,SAMN14504561,SRR11513873,PACBIO_SMRT,chromosome
CP051408,GCA_016454625.1,SAMN14504561,SRR11457430,ILLUMINA,plasmid
CP051408,GCA_016454625.1,SAMN14504561,SRR11513873,PACBIO_SMRT,plasmid
CP051409,GCA_016454625.1,SAMN14504561,SRR11457430,ILLUMINA,plasmid
CP051409,GCA_016454625.1,SAMN14504561,SRR11513873,PACBIO_SMRT,plasmid
CP051404,GCF_016454605.1,SAMN14504562,SRR11457419,ILLUMINA,chromosome
CP051404,GCF_016454605.1,SAMN14504562,SRR11513872,PACBIO_SMRT,chromosome
CP051405,GCF_016454605.1,SAMN14504562,SRR11457419,ILLUMINA,plasmid
CP051405,GCF_016454605.1,SAMN14504562,SRR11513872,PACBIO_SMRT,plasmid
CP051406,GCF_016454605.1,SAMN14504562,SRR11457419,ILLUMINA,plasmid
CP051406,GCF_016454605.1,SAMN14504562,SRR11513872,PACBIO_SMRT,plasmid
NZ_CP051404,GCF_016454605.1,SAMN14504562,SRR11457419,ILLUMINA,chromosome
NZ_CP051404,GCF_016454605.1,SAMN14504562,SRR11513872,PACBIO_SMRT,chromosome
NZ_CP051405,GCF_016454605.1,SAMN14504562,SRR11457419,ILLUMINA,plasmid
