NucleotideID,AssemblyID,Biosample,SRRID,Sequencer,Type
NZ_LR213454,GCF_900659645.1,SAMEA5210150,ERR3048275,PACBIO_SMRT,plasmid
NZ_LR213453,GCF_900659645.1,SAMEA5210150,ERR3048275,PACBIO_SMRT,plasmid
NZ_LR213452,GCF_900659645.1,SAMEA5210150,ERR3048275,PACBIO_SMRT,chromosome
CP037924,GCF_004799585.1,SAMN10608416,SRR8921221,ILLUMINA,plasmid
CP037924,GCF_004799585.1,SAMN10608416,SRR8921222,ILLUMINA,plasmid
CP037924,GCF_004799585.1,SAMN10608416,SRR8921223,ILLUMINA,plasmid
CP037924,GCF_004799585.1,SAMN10608416,SRR8921224,PACBIO_SMRT,plasmid
CP037924,GCF_004799585.1,SAMN10608416,SRR8921225,ILLUMINA,plasmid
CP037923,GCF_004799585.1,SAMN10608416,SRR8921221,ILLUMINA,chromosome
CP037923,GCF_004799585.1,SAMN10608416,SRR8921222,ILLUMINA,chromosome
CP037923,GCF_004799585.1,SAMN10608416,SRR8921223,ILLUMINA,chromosome
CP037923,GCF_004799585.1,SAMN10608416,SRR8921224,PACBIO_SMRT,chromosome
CP037923,GCF_004799585.1,SAMN10608416,SRR8921225,ILLUMINA,chromosome
LR878367,GCA_904066025.1,SAMEA7160008,ERR4450914,PACBIO_SMRT,plasmid
LR878366,GCA_904066025.1,SAMEA7160008,ERR4450914,PACBIO_SMRT,plasmid
LR878365,GCA_904066025.1,SAMEA7160008,ERR4450914,PACBIO_SMRT,""
CP058593,GCA_013402835.1,SAMN13753499,SRR10848560,ILLUMINA,plasmid
CP058592,GCA_013402835.1,SAMN13753499,SRR10848560,ILLUMINA,plasmid
CP058591,GCA_013402835.1,SAMN13753499,SRR10848560,ILLUMINA,plasmid
CP058590,GCA_013402835.1,SAMN13753499,SRR10848560,ILLUMINA,plasmid
CP058589,GCA_013402835.1,SAMN13753499,SRR10848560,ILLUMINA,chromosome
NZ_CP054915,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,plasmid
NZ_CP054915,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,plasmid
NZ_CP054914,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,plasmid
NZ_CP054914,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,plasmid
NZ_CP054913,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,chromosome
NZ_CP054913,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,chromosome
CP054915,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,plasmid
CP054915,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,plasmid
CP054914,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,plasmid
CP054914,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,plasmid
CP054913,GCF_013364115.1,SAMN11056406,SRR9163455,ILLUMINA,chromosome
CP054913,GCF_013364115.1,SAMN11056406,SRR9163456,PACBIO_SMRT,chromosome
CP045944,GCF_009664535.1,SAMN13191650,SRR10520183,ILLUMINA,plasmid
CP045944,GCF_009664535.1,SAMN13191650,SRR10523785,OXFORD_NANOPORE,plasmid
CP045943,GCF_009664535.1,SAMN13191650,SRR10520183,ILLUMINA,plasmid
CP045943,GCF_009664535.1,SAMN13191650,SRR10523785,OXFORD_NANOPORE,plasmid
CP045942,GCF_009664535.1,SAMN13191650,SRR10520183,ILLUMINA,plasmid
CP045942,GCF_009664535.1,SAMN13191650,SRR10523785,OXFORD_NANOPORE,plasmid
