NucleotideID,AssemblyID,Biosample,SRRID,Sequencer,Type
AP012306,GCF_000350185.1,SAMD00006056,DRR001647,ABI_SOLID,""
AP012306,GCF_000350185.1,SAMD00006056,DRR039986,LS454,""
AP023219,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,""
AP023219,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,""
AP023220,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
AP023220,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
AP023221,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
AP023221,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
AP023222,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
AP023222,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
AP023223,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
AP023223,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
NZ_AP023219,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,chromosome
NZ_AP023219,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,chromosome
NZ_AP023220,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
NZ_AP023220,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
NZ_AP023221,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
NZ_AP023221,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
NZ_AP023222,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
NZ_AP023222,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
NZ_AP023223,GCF_013374235.1,SAMD00099774,DRR111587,ILLUMINA,plasmid
NZ_AP023223,GCF_013374235.1,SAMD00099774,DRR232346,OXFORD_NANOPORE,plasmid
AP022351,GCF_010724935.1,SAMD00108729,DRR120579,ILLUMINA,""
AP022351,GCF_010724935.1,SAMD00108729,DRR192207,ILLUMINA,""
AP022351,GCF_010724935.1,SAMD00108729,DRR193900,OXFORD_NANOPORE,""
NZ_AP022351,GCF_010724935.1,SAMD00108729,DRR120579,ILLUMINA,chromosome
NZ_AP022351,GCF_010724935.1,SAMD00108729,DRR192207,ILLUMINA,chromosome
NZ_AP022351,GCF_010724935.1,SAMD00108729,DRR193900,OXFORD_NANOPORE,chromosome
AP019761,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,""
AP019761,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,""
AP019762,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019762,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019763,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019763,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019764,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019764,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019765,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019765,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019766,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019766,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019767,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019767,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
AP019768,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
AP019768,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019761,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,chromosome
NZ_AP019761,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,chromosome
NZ_AP019762,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019762,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019763,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019763,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019764,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019764,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019765,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019765,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019766,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019766,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019767,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019767,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
NZ_AP019768,GCF_007990655.1,SAMD00172295,DRR179471,ILLUMINA,plasmid
NZ_AP019768,GCF_007990655.1,SAMD00172295,DRR179472,PACBIO_SMRT,plasmid
LR134152,GCF_900635635.1,SAMEA2689768,ERR688944,PACBIO_SMRT,""
NZ_LR134152,GCF_900635635.1,SAMEA2689768,ERR688944,PACBIO_SMRT,chromosome
LR134157,GCF_900635685.1,SAMEA2709016,ERR710265,PACBIO_SMRT,""
LR134191,GCF_900635895.1,SAMEA3251422,ERR879383,PACBIO_SMRT,""
LR890536,GCF_904865655.1,SAMEA3357369,ERR1015326,ILLUMINA,""
