NucleotideID,AssemblyID,Biosample,SRRID,Sequencer,Type
CP045258,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,chromosome
CP045258,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,chromosome
CP045259,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
CP045259,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
CP045260,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
CP045260,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
CP045261,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
CP045261,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
CP045262,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
CP045262,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
NZ_CP045258,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,chromosome
NZ_CP045258,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,chromosome
NZ_CP045259,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
NZ_CP045259,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
NZ_CP045260,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
NZ_CP045260,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
NZ_CP045261,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
NZ_CP045261,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
NZ_CP045262,GCF_009363195.1,SAMN12991207,SRR10259778,OXFORD_NANOPORE,plasmid
NZ_CP045262,GCF_009363195.1,SAMN12991207,SRR10259779,ILLUMINA,plasmid
CP045158,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,chromosome
CP045158,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,chromosome
CP045159,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
CP045159,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
CP045160,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
CP045160,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
CP045161,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
CP045161,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
CP045162,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
CP045162,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
NZ_CP045158,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,chromosome
NZ_CP045158,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,chromosome
NZ_CP045159,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
NZ_CP045159,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
NZ_CP045160,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
NZ_CP045160,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
NZ_CP045161,GCF_009295985.1,SAMN07176224,SRR10259782,OXFORD_NANOPORE,plasmid
NZ_CP045161,GCF_009295985.1,SAMN07176224,SRR5641454,ILLUMINA,plasmid
